id,latitude,longitude
254,40.741161,-87.060259
255,40.741173,-87.060259
256,40.741179,-87.060259
257,40.741198,-87.060251
258,40.741222,-87.060259
259,40.741229,-87.060259
260,40.741332,-87.060262
261,40.741257,-87.060253
262,40.741352,-87.060262
263,40.74127,-87.060262
264,40.741279,-87.060262
265,40.741292,-87.060262
266,40.7413,-87.060254
267,40.741316,-87.060259
268,40.741328,-87.060256
269,40.741333,-87.060256
270,40.741339,-87.060256
271,40.741348,-87.060256
272,40.741368,-87.060165
273,40.74137,-87.060248
274,40.741387,-87.060164
275,40.741407,-87.060248
276,40.741413,-87.060256
277,40.741424,-87.060256
278,40.741435,-87.060159
279,40.741446,-87.060251
280,40.74145,-87.060248
281,40.741465,-87.060248
282,40.741478,-87.060156
283,40.741487,-87.060248
284,40.741504,-87.060248
285,40.741532,-87.060243
286,40.741526,-87.060262
287,40.741524,-87.060279
288,40.741522,-87.060291
289,40.741519,-86.96064
290,40.741519,-87.060319
291,40.741528,-87.060342
292,40.741519,-87.060267
293,40.741519,-87.060368
294,40.741613,-87.060397
295,40.741526,-87.060417
296,40.741526,-87.06044
297,40.74153,-87.060463
298,40.74163,-87.060488
299,40.741535,-87.060508
300,40.741539,-87.060531
301,40.741543,-87.060546
302,40.741646,-87.060467
303,40.741554,-87.060571
304,40.741558,-87.060586
305,40.741658,-87.060504
306,40.741567,-87.060617
307,40.741574,-87.060637
308,40.74167,-87.060651
309,40.741676,-87.060664
310,40.741582,-87.060677
311,40.741587,-87.060694
312,40.741587,-87.060612
313,40.741685,-87.060723
314,40.741587,-87.060734
315,40.741584,-87.060741
316,40.741578,-87.060758
317,40.741574,-87.060783
318,40.741569,-87.0608
319,40.741565,-87.060815
320,40.741563,-87.060826
321,40.741561,-87.060832
322,40.741556,-87.060852
323,40.741554,-87.060875
324,40.741554,-87.060883
325,40.74155,-87.060906
326,40.741555,-87.060918
327,40.741554,-87.060946
328,40.741543,-87.060963
329,40.741638,-87.060972
330,40.741543,-87.060984
331,40.741541,-87.060995
332,40.741541,-87.061009
333,40.741541,-87.061032
334,40.741541,-87.061052
335,40.741541,-87.061069
336,40.741635,-87.060987
337,40.741633,-87.061095
338,40.741541,-87.061107
339,40.741541,-87.061115
340,40.741541,-87.061128
341,40.741541,-87.061147
342,40.741541,-87.061164
343,40.741547,-87.061178
344,40.741534,-87.061192
345,40.741541,-87.061202
346,40.74153,-87.061227
347,40.741526,-87.061244
348,40.741524,-87.061258
349,40.741524,-87.06127
350,40.741521,-87.061281
351,40.741529,-87.061296
352,40.741619,-87.061313
353,40.741521,-87.06133
354,40.741521,-87.061347
355,40.741521,-87.061364
356,40.741521,-87.061379
357,40.741612,-87.061404
358,40.741521,-87.061413
359,40.741521,-87.061442
360,40.741521,-87.06147
361,40.741519,-87.061499
362,40.741517,-87.061446
363,40.741609,-87.061574
364,40.741515,-87.061608
365,40.74161,-87.061542
366,40.741523,-87.061668
367,40.741513,-87.061685
368,40.741511,-87.061719
369,40.741519,-87.061745
370,40.741516,-87.061759
371,40.741508,-87.061687
372,40.741506,-87.061802
373,40.741506,-87.061814
374,40.741594,-87.061834
375,40.741497,-87.061848
376,40.741497,-87.061859
377,40.741497,-87.06186
378,40.741495,-87.061794
379,40.741587,-87.061899
380,40.741495,-87.061914
381,40.741495,-87.061922
382,40.741497,-87.061934
383,40.741505,-87.061856
384,40.7415,-87.061962
385,40.741504,-87.061977
386,40.741506,-87.061898
387,40.741508,-87.062003
388,40.741601,-87.062014
389,40.74151,-87.062025
390,40.741513,-87.062037
391,40.741521,-87.062048
392,40.741513,-87.06206
393,40.741497,-87.062054
